FID,AREA,PERIMETER,INDEX_,INDEX_ID,TILE,TILENUM
9,16398695.124299,16343.665422527,310,225,0840,840
10,16398686.342895,16343.660650185,311,182,0841,841
11,16435960.758391,16364.764884377,902,131,0979,979
12,16435964.937547,16364.768504563,903,101,1108,1108
13,16400959.680534,16344.935367539,312,1521,0812,812
14,16400942.721179,16344.927281464,313,1498,0703,703
15,16438427.488087,16366.162711126,904,1514,0687,687
16,16400925.146725,16344.917838157,314,1470,0704,704
17,16435950.806736,16364.760754544,905,72,1245,1245
18,16400942.546496,16344.928057762,315,1437,0705,705
19,16400915.789476,16344.915090523,316,1399,0706,706
20,16438444.136627,16366.170393708,906,1486,0586,586
21,16400900.44449,16344.907568493,317,1361,0707,707
22,16438447.072208,16366.171467835,907,1453,0493,493
23,16400912.16529,16344.914353898,318,1318,0708,708
24,16438455.661291,16366.17562334,908,1415,0408,408
25,16400893.743338,16344.905244577,319,1273,0709,709
26,16438464.130096,16366.17878627,909,1377,0331,331
27,16400892.256163,16344.905312347,320,1227,0710,710
28,16438472.684965,16366.182806334,910,1334,0262,262
29,16400876.204667,16344.897102594,321,1179,0711,711
30,16400889.523307,16344.905365548,322,1128,0712,712
31,16438478.118196,16366.185573646,911,1289,0201,201
32,16438484.368441,16366.18784244,912,1243,0148,148
33,16400860.438902,16344.890537826,323,1076,0713,713
34,16400854.006996,16344.88879362,324,1023,0714,714
35,16438493.181822,16366.191454554,913,1197,0103,103
36,16438502.352649,16366.195811449,914,1145,0066,66
37,16400851.007526,16344.887946601,325,968,0715,715
38,16400838.755831,16344.881482058,326,910,0716,716
39,16438491.713457,16366.18983359,915,1093,0037,37
40,16438513.22366,16366.20130359,916,1040,0036,36
41,16401017.172552,16344.982259962,327,852,0717,717
42,16401009.884391,16344.977402796,328,795,0718,718
43,16438501.579356,16366.193416593,917,984,0035,35
44,16401019.646628,16344.983073826,329,738,0719,719
45,16401017.976757,16344.982202502,330,683,0720,720
46,16438542.006603,16366.213898432,918,926,0034,34
47,16438554.015753,16366.219775671,919,868,0033,33
48,16401016.272555,16344.980260453,331,628,0721,721
49,16401015.603027,16344.980700076,332,574,0722,722
50,16438544.079428,16366.216602724,920,811,0032,32
51,16438532.019477,16366.211190029,921,754,0031,31
52,16401013.740798,16344.98069612,333,521,0723,723
53,16438521.710043,16366.205135936,922,699,0056,56
54,16401014.45721,16344.980250227,334,471,0724,724
55,16401018.560711,16344.981361157,335,421,0725,725
56,16438542.371842,16366.216834144,923,644,0089,89
57,16438510.835604,16366.200195801,924,590,0130,130
58,16401031.087556,16344.988028357,336,372,0726,726
