FID,FEATURECOD,UPDATE_YEA,SHAPE_len
3568,540,2004,157.426970825
3569,540,2004,59.9524229467
3570,520,2004,81.4826950116
3571,520,2004,218.976416102
3572,520,2004,2238.91528154
3573,540,2004,53.9386284216
3574,520,2004,58.6697577264
3575,520,2004,1995.85694532
3576,510,2004,621.715575321
3577,520,2004,1424.58647914
3578,540,2004,55.7159565516
3579,520,2004,248.057359833
3580,540,2004,94.8827514542
3581,520,2004,487.305371292
3582,540,2004,220.973193539
3583,540,2004,370.399820393
3584,520,2004,1445.26721426
3585,520,2004,972.457937496
3586,540,2004,103.342849258
3587,540,2004,40.2359161232
3588,520,2004,706.64750435
3589,520,2004,487.921790576
3590,520,2004,1163.2049762
3591,520,2004,207.472658122
3592,520,2004,97.281251197
3593,540,2004,39.8198802081
3594,540,2004,18.6052639544
3595,520,2004,3582.29784941
3596,520,2004,776.517985755
3597,520,2004,436.058087221
3598,520,2004,65.1068799079
3599,430,2004,484.498164856
3600,520,2004,377.505242827
3601,520,2004,1428.12632566
3602,540,2004,35.4137178827
3603,520,2004,109.545766214
3604,520,2004,210.750901365
3605,540,2004,26.209492845
3606,520,2004,202.993445768
3607,540,2004,23.9312178685
3608,520,2004,2676.77742645
3609,540,2004,47.3757428955
3610,520,2004,229.113514461
3611,520,2004,770.594230142
3612,540,2004,41.2911248591
3613,520,2004,2434.73920948
3614,520,2004,195.029042174
3615,520,2004,21.0543829203
3616,520,2004,597.063890882
3617,540,2004,48.7155620442
3618,540,2004,164.591108652
3619,520,2004,955.271833401
3620,520,2004,324.639295317
3621,520,2004,1371.90787624
3622,520,2004,196.913285076
3623,520,2004,376.963491932
3624,520,2004,1180.84823598
3625,520,2004,674.366249913
3626,520,2004,106.451980051
3627,520,2004,576.638898775
3628,520,2004,584.844035203
3629,520,2004,931.152950244
3630,520,2004,1410.46070619
3631,520,2004,1381.30550019
3632,520,2004,63.521457838
3633,520,2004,739.932013895
3634,520,2004,790.016051531
3635,540,2004,106.625472518
3636,520,2004,275.842227503
3637,540,2004,61.4594120067
3638,540,2004,26.1116008738
3639,520,2004,121.642214461
3640,540,2004,217.108765399
3641,520,2004,1513.48649249
3642,520,2004,27.7610621255
3643,520,2004,691.512820067
3644,540,2004,54.4528376872
3645,520,2004,249.797835573
3646,540,2004,134.967575914
3647,520,2004,833.527725727
3648,540,2004,26.6985180438
3649,520,2004,461.660090604
3650,520,2004,525.733899699
3651,520,2004,1109.88109503
3652,520,2004,764.642765366
3653,520,2004,1173.3339809
3654,520,2004,1159.6826636
3655,520,2004,260.846867667
3656,520,2004,64.5285000234
3657,540,2004,115.273931617
3658,540,2004,26.9126304488
3659,540,2004,51.4978976228
3660,540,2004,70.7423249863
3661,520,2004,718.879482296
3662,520,2004,432.42022035
3663,520,2004,1698.4968574
3664,520,2004,287.006855594
3665,540,2004,63.449879067
3666,520,2004,1676.71040853
3667,520,2004,648.709834615
3668,540,2004,38.0526308283
3669,520,2004,578.524682723
3670,540,2004,37.8881495186
3671,520,2004,137.173582377
3672,520,2004,501.329065067
3673,540,2004,49.9924761083
3674,520,2004,35.2579128815
3675,520,2004,4308.55677929
3676,430,2004,384.12224498
3677,520,2004,26.3987531159
3678,520,2004,385.635632778
3679,520,2004,450.29204221
3680,520,2004,281.497000321
3681,520,2004,587.138798477
3682,520,2004,281.44486757
3683,540,2004,124.083817223
3684,520,2004,325.75828238
3685,520,2004,382.367506815
3686,520,2004,472.281481434
3687,540,2004,58.8419854944
3688,520,2004,603.146350929
3689,520,2004,241.429672532
3690,540,2004,64.086210787
3691,520,2004,373.763012521
3692,540,2004,79.3805829347
3693,520,2004,47.6739322532
3694,520,2004,447.346702088
3695,520,2004,502.793568969
