X,Y,objectid,id_1,buff_dist,orig_fid,created_user,created_date,last_edited_user,last_edited_date,cid,st_area_shape_,st_length_shape_
-79.9798339415,40.4647756104,163,TS397,40,163,,,SDE,2015/08/11 14:08:40+00,371,0,0
-80.0112488202,40.4749499114,164,TS455,40,164,,,SDE,2015/08/11 14:08:43+00,583,0,0
-79.9022240958,40.4556932392,165,TS393,40,165,,,SDE,2015/08/11 14:08:34+00,44,0,0
-80.0022773913,40.4486264337,166,TS379,40,166,,,SDE,2015/08/11 14:08:43+00,568,0,0
-79.9672092898,40.4615928183,167,TS396,40,167,,,SDE,2015/08/11 14:08:39+00,330,0,0
-79.964730731,40.4661950946,168,TS186,40,168,,,SDE,2015/08/11 14:08:39+00,332,0,0
-79.9260075823,40.4440218894,169,TS476,40,169,,,SDE,2015/08/11 14:08:35+00,127,0,0
-79.9777282141,40.4276687423,170,TS516,40,170,,,SDE,2015/08/11 14:08:40+00,390,0,0
-80.0087311686,40.451987419,171,TS42,40,171,,,SDE,2015/08/11 14:08:42+00,528,0,0
-79.9974005212,40.4216477725,172,TS104,40,172,,,SDE,2015/08/11 14:08:40+00,397,0,0
-79.8962978479,40.4573965129,173,TS367,40,173,,,SDE,2015/08/11 14:08:33+00,23,0,0
-79.8975248936,40.4546281789,174,TS392,40,174,,,SDE,2015/08/11 14:08:33+00,20,0,0
-79.9518116511,40.4631456697,175,TS285,40,175,,,SDE,2015/08/11 14:08:39+00,339,0,0
-79.9275797427,40.423043104,176,TS96,40,176,,,SDE,2015/08/11 14:08:35+00,101,0,0
-79.9323987901,40.4606783885,177,TS374,40,177,,,SDE,2015/08/11 14:08:39+00,348,0,0
-79.9277842406,40.4409014227,178,TS483,40,178,,,SDE,2015/08/11 14:08:35+00,123,0,0
-79.9946620241,40.4389469939,179,TS313,40,179,,,SDE,2015/08/11 14:08:38+00,261,0,0
-79.9758921682,40.4043753922,180,TS624,40,180,,,SDE,2015/08/11 14:08:42+00,531,0,0
-80.0008916313,40.4367198039,181,TS352,40,181,,,SDE,2015/08/11 14:08:38+00,275,0,0
-79.9960558141,40.4382276046,182,TS335,40,182,,,SDE,2015/08/11 14:08:38+00,268,0,0
-79.9674846845,40.4471044356,183,TS210,40,183,,,SDE,2015/08/11 14:08:43+00,549,0,0
-79.9964606094,40.437581661,184,TS364,40,184,,,SDE,2015/08/11 14:08:38+00,277,0,0
-79.9726431693,40.4376948849,185,TS138,40,185,,,SDE,2015/08/11 14:08:37+00,222,0,0
-79.9423098047,40.4037118057,186,TS560,40,186,,,SDE,2015/08/11 14:08:35+00,92,0,0
-79.9565692834,40.4431515895,187,TS316,40,187,,,SDE,2015/08/11 14:08:36+00,180,0,0
-79.9860103406,40.4410295487,188,TS209,40,188,,,SDE,2015/08/11 14:08:37+00,214,0,0
-79.9994983434,40.4420996156,189,TS533,40,189,,,SDE,2015/08/11 14:08:38+00,310,0,0
-80.0776712539,40.4593452913,190,TS223,40,190,,,SDE,2015/08/11 14:08:41+00,454,0,0
-79.960910259,40.4697957759,191,TS180,40,191,,,SDE,2015/08/11 14:08:39+00,355,0,0
-79.9097885052,40.4610560304,192,TS444,40,192,,,SDE,2015/08/11 14:08:34+00,53,0,0
-80.011386302,40.4150351261,193,TS522,40,193,,,SDE,2015/08/11 14:08:41+00,437,0,0
-79.9069325714,40.4532217661,194,TS254,40,194,,,SDE,2015/08/11 14:08:34+00,40,0,0
-79.953335395,40.443226936,195,TS120,40,195,,,SDE,2015/08/11 14:08:36+00,182,0,0
-79.9124236188,40.4540374674,196,TS310,40,196,,,SDE,2015/08/11 14:08:34+00,56,0,0
-79.9385796897,40.4270577571,197,TS11,40,197,,,SDE,2015/08/11 14:08:35+00,122,0,0
-80.0081833696,40.4483344201,198,TS549,40,198,,,SDE,2015/08/11 14:08:43+00,579,0,0
-79.9699490292,40.4607719971,199,TS506,40,199,,,SDE,2015/08/11 14:08:39+00,329,0,0
-79.9526597065,40.4418090572,200,TS662,40,200,,,SDE,2015/08/11 14:08:44+00,590,0,0
-79.9386077756,40.4645618428,201,TS51,40,201,,,SDE,2015/08/11 14:08:34+00,62,0,0
-80.0048978138,40.450311939,202,TS237,40,202,,,SDE,2015/08/11 14:08:42+00,514,0,0
-79.9444487644,40.4541597199,203,TS215,40,203,,,SDE,2015/08/11 14:08:36+00,153,0,0
-79.9512138088,40.4828551515,204,TS178,40,204,,,SDE,2015/08/11 14:08:39+00,356,0,0
-79.9193591257,40.4380405986,205,TS337,40,205,,,SDE,2015/08/11 14:08:35+00,119,0,0
-79.9901131064,40.4038374373,206,TS167,40,206,,,SDE,2015/08/11 14:08:40+00,399,0,0
-80.0008266067,40.4400890754,207,TS342,40,207,,,SDE,2015/08/11 14:08:38+00,270,0,0
-79.9272403197,40.4634946274,208,TS37,40,208,,,SDE,2015/08/11 14:08:34+00,73,0,0
-79.9447232734,40.4113125004,209,TS394,40,209,,,SDE,2015/08/11 14:08:35+00,95,0,0
-80.0210005465,40.4476124337,210,TS669,40,210,,,SDE,2015/08/11 14:08:43+00,585,0,0
-79.9520177659,40.4518835336,211,TS208,40,211,,,SDE,2015/08/11 14:08:36+00,200,0,0
-79.9972227185,40.4404479632,212,TS488,40,212,,,SDE,2015/08/11 14:08:38+00,299,0,0
-79.9968026097,40.4393935602,213,TS296,40,213,,,SDE,2015/08/11 14:08:37+00,257,0,0
-79.9886091631,40.4294146119,214,TS125,40,214,,,SDE,2015/08/11 14:08:40+00,384,0,0
-80.0294280104,40.4440973716,215,TS520,40,215,,,SDE,2015/08/11 14:08:41+00,451,0,0
-79.9615272175,40.4358364116,216,TS22,40,216,,,SDE,2015/08/11 14:08:35+00,140,0,0
-79.9430502168,40.4508761567,217,TS286,40,217,,,SDE,2015/08/11 14:08:36+00,151,0,0
-79.9210249382,40.469689982,218,TS401,40,218,,,SDE,2015/08/11 14:08:34+00,77,0,0
-79.9199023307,40.4418150052,219,TS482,40,219,,,SDE,2015/08/11 14:08:35+00,125,0,0
-79.9082751835,40.4742161008,220,TS419,40,220,,,SDE,2015/08/11 14:08:33+00,4,0,0
-79.9959525088,40.3822310533,221,TS442,40,221,,,SDE,2015/08/11 14:08:40+00,407,0,0
-80.0067515179,40.440841821,222,TS241,40,222,,,SDE,2015/08/11 14:08:37+00,253,0,0
-79.8981997278,40.4481520162,223,TS194,40,223,,,SDE,2015/08/11 14:08:33+00,30,0,0
-79.9355028045,40.450634618,224,TS7,40,224,,,SDE,2015/08/11 14:08:36+00,162,0,0
-80.0170697514,40.4596556185,225,TS142,40,225,,,SDE,2015/08/11 14:08:41+00,474,0,0
-79.944077205,40.4099891731,226,TS323,40,226,,,SDE,2015/08/11 14:08:35+00,94,0,0
-79.9986463713,40.4400852713,227,TS314,40,227,,,SDE,2015/08/11 14:08:38+00,262,0,0
-80.0016370371,40.438878397,228,TS540,40,228,,,SDE,2015/08/11 14:08:39+00,313,0,0
-79.9116210783,40.4468432578,229,TS255,40,229,,,SDE,2015/08/11 14:08:33+00,36,0,0
