FID,FEATURECOD,UPDATE_YEA,SHAPE_area,SHAPE_len
262,430,2004,14299.0722875,459.621476853
263,430,2004,5736.97068156,331.040210542
264,430,2004,50942.1369783,1217.43393256
265,430,2004,2821.82419638,195.112936362
266,430,2004,32463.14948,819.768162023
267,430,2004,30043.9309984,689.760696721
268,420,2004,49506.557849,915.028195055
269,430,2004,21641.6519389,560.665244116
270,430,2004,816.550595151,121.542086916
271,430,2004,11871.3594517,416.580188934
272,430,2004,10286.2903153,473.340503816
273,430,2004,1901.17545325,183.835819784
274,430,2004,50159.7480682,947.001276731
275,460,2004,688376.52791,45876.5562996
276,430,2004,9585.91639944,383.798347849
277,430,2004,22417.0889453,664.194651574
278,430,2004,12389.0678079,478.059380635
279,430,2004,11602.8414093,586.321249699
280,430,2004,15909.045359,509.489811063
281,430,2004,48109.6178855,1016.03682017
282,430,2004,41699.3778725,1114.55681744
283,430,2004,15205.0107385,487.446773496
284,430,2004,49426.7433407,965.521571362
285,430,2004,89157.5503776,1739.61553876
286,430,2004,26253.3530643,743.210530708
287,430,2004,17628.9320382,592.476043558
288,430,2004,12902.18805,481.883187158
289,420,2004,54743.5132643,1098.46557278
290,410,2004,173408.867599,1553.03852871
291,430,2004,5187.80665476,262.167734494
292,430,2004,5494.85030799,337.706873344
293,430,2004,24090.5384079,722.311954218
294,430,2004,1916.00611566,185.00886812
295,430,2004,13704.6409568,423.97161662
296,420,2004,5107.14463528,517.462718993
297,430,2004,6571.70156756,326.501200589
298,430,2004,20918.454904,578.531820669
299,430,2004,29516.6670956,688.376245085
300,430,2004,239609.375007,1915.45086799
301,430,2004,41348.2284366,767.028546783
302,430,2004,24116.4101846,593.976582589
303,430,2004,59245.3578865,921.6615662
304,430,2004,36465.1789346,1596.14871542
305,430,2004,22219.803634,597.737854455
306,430,2004,54475.096393,1016.18124029
307,460,2004,268485.749796,21444.878423
308,430,2004,5590.28813514,349.916676522
309,460,2004,2026368.92735,122653.511063
310,460,2004,225348.131619,8445.08713865
311,430,2004,4512.39270339,407.672163811
312,470,2004,1864257.27714,9359.1986145
313,420,2004,51759.0612339,1365.62863555
314,430,2004,162394.059257,1578.7803695
315,430,2004,77202.0911757,1448.84604041
316,430,2004,16925.120652,580.796230106
317,430,2004,8526.28570245,506.545953942
318,430,2004,18371.568922,531.60792831
319,420,2004,67860.2367682,1117.36836279
320,430,2004,74317.6995609,1165.76492992
321,430,2004,81616.1986533,1124.98876322
322,430,2004,6221.96684855,300.940666853
323,430,2004,6826.20862285,365.612034857
324,430,2004,7670.23272332,434.437382904
325,430,2004,13517.9315448,483.41243899
326,430,2004,52169.8232117,1171.48580541
327,430,2004,21031.165481,619.888170262
328,430,2004,32367.3732081,817.507415319
329,420,2004,100378.943723,2241.62018212
330,420,2004,177980.910033,2084.57910592
331,430,2004,33918.5715083,941.178321155
332,430,2004,17725.0872135,551.194942857
333,430,2004,13235.895875,437.692199501
334,460,2004,562418.47178,7122.97354506
335,430,2004,18090.472085,630.008689115
336,470,2004,12640.0836118,424.050321758
337,430,2004,87729.4630244,1098.43973042
338,430,2004,20335.6067466,689.920089312
339,460,2004,187723.069627,20392.8041308
340,430,2004,36447.5887556,771.774881053
341,430,2004,16688.1903667,696.779101297
342,420,2004,67566.3945075,1245.5556859
343,470,2004,548582.116035,4904.00384149
344,430,2004,73087.3526191,1063.98116338
345,460,2004,232694.821064,22664.1323325
346,460,2004,5930.25025765,300.576511804
347,430,2004,478668.623632,3238.10021811
348,460,2004,10367.2845595,422.944250883
349,430,2004,102566.960898,1770.71572096
350,470,2004,79042.9280364,2426.76161379
351,430,2004,43441.2699527,852.826399361
352,430,2004,19564.0962402,557.010348178
353,430,2004,114003.452303,1367.04558046
354,430,2004,25627.8179943,598.300835328
355,430,2004,12262.5189612,495.673076499
356,430,2004,34428.3124516,791.811708778
357,430,2004,17869.1184743,515.55038058
358,430,2004,484953.375966,3130.30355139
359,430,2004,16678.9967665,664.223361842
360,430,2004,73941.6008669,1052.25876982
361,430,2004,19612.6322956,523.789799637
362,430,2004,69597.243069,1198.40627317
363,430,2004,18950.6858974,517.765682489
364,430,2004,12647.8454225,436.241441696
365,470,2004,2356.00099768,239.442959081
366,430,2004,34332.8587229,752.851866652
367,430,2004,2423.4682793,234.896988153
368,430,2004,12520.0493116,485.219836575
369,460,2004,95504.832676,7764.22849736
370,430,2004,22027.358867,547.927167115
371,430,2004,3475.90011384,278.893704874
372,430,2004,9267.93313386,380.446244488
373,420,2004,64913.2158677,1607.14088209
374,430,2004,36946.7850095,940.976926366
375,430,2004,8274.19909776,341.570627725
376,430,2004,24853.4343934,858.095234273
377,470,2004,5647.227419,339.163198144
378,460,2004,2095883.44361,139390.300952
379,430,2004,48459.9136256,865.010719824
380,430,2004,6657.72307689,378.279190941
381,430,2004,5849.72415364,317.188575888
382,430,2004,54487.0025519,1136.76963927
383,430,2004,9727.89577018,377.278980294
384,430,2004,2823.68103941,231.322303217
385,430,2004,181152.987056,2007.40476253
386,430,2004,7253.20574627,371.421565341
387,430,2004,50196.8139994,956.132747883
388,430,2004,55252.2197527,1240.07990097
389,430,2004,18519.9913411,630.889799658
390,430,2004,6629.84160044,331.601248159
391,430,2004,46874.2502337,1001.77279374
392,430,2004,165579.772618,2128.35643133
393,430,2004,24525.4710975,702.145766232
394,430,2004,4658.23852539,289.5130832
395,430,2004,272410.679469,2844.43098948
396,430,2004,32485.653028,735.260954773
397,430,2004,21743.9712804,676.401880044
398,430,2004,33166.8757895,967.492382156
399,430,2004,309.994285002,70.5106143391
400,460,2004,14373.0564607,1555.65569637
401,430,2004,27802.2565256,667.288264888
402,430,2004,50955.7356261,981.870079408
403,430,2004,77956.4688458,1334.63725896
404,430,2004,112221.023198,1361.10184528
405,430,2004,105317.108011,1622.77120929
406,430,2004,19654.0346622,624.448805011
407,430,2004,4081.45223374,235.717535378
408,430,2004,10215.3947125,373.534697176
409,430,2004,12976.3613828,496.527314203
410,430,2004,129829.23177,1754.01213005
411,430,2004,346284.432742,3445.11326433
412,430,2004,15782.5936035,556.152431084
413,430,2004,9976.00339234,389.674612546
414,430,2004,7210.57089492,374.22094809
415,430,2004,78229.5652198,1176.91364579
416,430,2004,1645.28063815,150.913732031
417,430,2004,27884.3327058,754.924562385
418,430,2004,9829.13951634,415.019989367
419,430,2004,8138.3455866,736.125910122
420,430,2004,24892.9626259,1001.6567024
421,430,2004,45205.1056181,935.692315533
422,430,2004,9250.60288174,461.904164922
423,430,2004,10844.3152824,408.736029614
424,430,2004,11321.0094986,550.566130148
425,430,2004,59153.6355286,1181.525953
426,430,2004,9298.94678942,377.195751705
427,430,2004,19344.2404774,558.577155039
428,430,2004,116238.829894,1827.42354466
429,430,2004,13435.4247781,431.107208213
430,430,2004,43607.7018643,1341.071383
431,430,2004,2390.50730976,188.412373512
432,430,2004,104370.742881,1920.85693099
433,460,2004,68481.4886844,6941.36199201
434,430,2004,27889.8591972,705.10666325
435,430,2004,40431.8223469,912.974632259
436,430,2004,14208.5657105,561.865000749
437,430,2004,39542.8804911,917.624493069
438,430,2004,24457.7375035,664.125651559
439,430,2004,21460.4666436,597.412948295
440,430,2004,38862.3421367,818.3914867
441,430,2004,7089.12470014,386.53978648
442,420,2004,30317.1633456,878.411112232
443,430,2004,52067.1473093,1334.04081146
444,430,2004,41384.8993425,986.068485855
445,430,2004,35354.2677947,886.413150239
446,420,2004,55178.1402998,1406.61990284
447,430,2004,127203.043253,1791.40160001
448,430,2004,438665.070279,3121.43836497
449,430,2004,14915.1964586,577.148480265
450,430,2004,22786.414005,619.215336705
451,430,2004,20158.8672806,714.246290318
452,420,2004,34962.934225,978.035906932
453,430,2004,6918.49470508,309.26942674
454,430,2004,121038.746443,1953.80665163
455,430,2004,181814.442141,2735.42599828
456,430,2004,28508.766666,703.612246627
457,430,2004,79137.102354,1714.88531564
458,460,2004,360856.396684,40726.1158553
459,430,2004,7524.52586178,367.548011951
460,420,2004,87725.5753318,1231.02447438
461,410,2004,122544.81092,3816.56321508
462,430,2004,9148.2970914,392.437931237
463,430,2004,377569.064195,2509.37754918
464,410,2004,2920167.65742,21459.4569055
465,430,2004,12174.1447689,482.79793576
466,430,2004,32250.5691446,862.611426934
467,470,2004,52250.0900396,931.157085915
468,420,2004,11095.7536732,777.259371651
469,430,2004,4949.83551287,401.962262505
470,470,2004,2960.53290304,361.881019345
471,420,2004,56596.8703562,1143.03722897
472,430,2004,52020.305852,968.003202578
473,430,2004,989.080119548,115.978748951
474,470,2004,97956.115276,1600.52635457
475,430,2004,25735.4514125,720.176348777
476,430,2004,66069.8747278,1022.99818364
477,460,2004,16701.6466726,4819.32004967
478,470,2004,9161.60163292,439.90731623
479,430,2004,11508.2266055,464.290633905
480,470,2004,463.443281482,103.409308762
481,420,2004,24086.1082772,687.173988289
482,470,2004,7052.25555086,417.065512072
483,430,2004,30305.8046474,722.312168779
484,430,2004,21651.3705625,558.551535781
485,430,2004,655286.583865,3231.77765725
486,460,2004,48950.4438424,3476.16270696
487,430,2004,97365.4852882,1639.70777528
488,430,2004,6364.61919377,378.474285704
489,470,2004,196923.250437,2340.1145541
490,430,2004,396288.658215,3829.83913118
491,430,2004,5217.98856815,279.367244166
492,430,2004,14464.9369604,553.236092607
493,460,2004,76851.3470623,9576.20450239
494,430,2004,11479.4871106,399.31234703
495,430,2004,825533.160858,4684.55987596
496,420,2004,31567.9943384,857.055357013
497,430,2004,2569.84195778,205.730438725
498,420,2004,94152.5289186,1671.5064883
499,430,2004,4255.61642976,242.16729544
500,430,2004,19078.8300754,721.610534701
501,470,2004,2100298.62343,9025.95594326
502,430,2004,1284.80748378,163.174973291
