OBJECTID_1,OBJECTID,TNODE_,LPOLY_,RPOLY_,LENGTH,STREETCL_,STREETCL_I,PREFIX,NAME,TYPE,SUFFIX,STREETNAME,ALTERNATEN,LLEFT,HLEFT,LRGT,HRGT,FROMSTREET,TOSTREET,OWNER,BELTWAY,MAJORRD,NO_LANES,CFCC,ONEWAY,STCL_CODE,UNIQUE_ID,ROUTE_ID,ROUTE_TYPE,LNK_ROUTE_,CITYWORKS,FACILITYID,LEGACYID,INSTALLDAT,WARRANTYDA,CONDITIOND,LOCATION
64,4,0,0,0,1932.7478546974,13184,51637471, ,Walter / Wagner ,Ave, ,Walter / Wagner Ave,Wagner Ave,600,698,401,421,City Limit,Mountain Ave,County, , ,2,A31,n,0,20021,  5323-02,SNOW-MA-ALCO,532302, ,13184, ,,,,Walter / Wagner Ave
65,6,0,0,0,3872.10011704637,13923,51639337, ,Becks Run ,Rd, ,Becks Run Rd,Becks Run Rd,0,0,366,398,Madeline St,E Agnew Ave,County,Blue,Yes,0,A31,n,0,21145,  5024-02,SNOW-MA-ALCO,502402, ,13923, ,,,,Becks Run Rd
66,7,0,0,0,9631.64845854133,15610,14, ,Meridian ,Rd, ,Meridian Rd,Meridian Rd,0,0,0,0, , ,County, , ,0, , ,1630,0,  2204-00,SNOW,220400, ,15610, ,,,,Meridian Rd
67,8,0,0,0,13423.6400364861,15805,4, ,Middle Extension ,Rd, ,Middle Extension Rd,Middle Rd Extension,0,0,0,0, , ,County, , ,0, , ,1630,0,  2309-03,SNOW-MA,230903MA, ,15805, ,,,,Middle Rd
68,11,0,0,0,11825.6372153226,16956,11, ,Pearce Mill ,Rd, ,Pearce Mill Rd,Pearce Mill Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  1245-00,SNOW,124500, ,16956, ,,,,Pearce Mill Rd
69,12,0,0,0,13891.8610690518,16996,12, ,Brandt School ,Rd, ,Brandt School Rd,Brandt School Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  1040-00,SNOW-MA,104000MA, ,16996, ,,,,Brandt School Rd
70,587,0,0,0,2764.37442224359,48309,80, ,Drake ,Rd, ,Drake Rd,Drake Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  5100-00,SNOW,510000, ,80584, ,,,,Drake Rd
71,589,0,0,0,16997.2166831055,65129,9, ,Spring Run ,Rd, ,Spring Run Rd Extension,Spring Run Rd Extension,0,0,0,0, , ,County, , ,0, , ,1630,0,  6288-02,SNOW-MA,628802MA, ,80597, ,,,,Spring Run Rd Ext
72,590,0,0,0,6270.47030953999,72507,54, ,Painters Run ,Rd, ,Painters Run Rd,Bower Hill Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  6242-01,SNOW,624201, ,80602, ,,,,Painters Run Rd/ Bower Hill Rd
73,592,0,0,0,19456.0059934187,72862,10, ,Warrendale Bayne ,Rd, ,Warrendale Bayne Rd,Warrendale Bayne Rd,0,0,0,0, , ,County,Red,Yes,0, , ,1630,0,  1325-00,SNOW,132500, ,80612, ,,,,Warrendale Bayne Rd
