X,Y,BM_Height,Easting,Northing,OBJECTID
-6.57955946956328,54.1718746213548,BM 171.65,292811.278,325692.947,3742
-6.7672535946083,54.706834998453,BM 171.69,279511.752,385008.541,3743
-5.99613760823824,54.3739092834033,BM 171.69,330269.022,349101.36,3744
-7.39211864308814,54.5969448015777,BM 171.81,239339.322,372247.351,3745
-7.05418358399564,54.8639640932856,BM 171.86,260780.727,402212.78,3746
-6.03394483929508,54.3118217713049,BM 171.87,328005.21,342122.153,3747
-6.09113052543895,54.8301740701975,BM 171.92,322716.784,399712.14,3748
-5.99569834710044,54.38191294317,BM 172.13,330272.219,349992.932,3749
-7.38702441401415,54.4352083965307,BM 172.21,239825.531,354246.288,3750
-6.07589079940392,54.4401000903535,BM 172.37,324885.631,356323.681,3751
-5.98849286875375,54.3099889281947,BM 172.41,330968.795,342001.606,3752
-5.90382106998397,54.7687233055153,BM 172.48,334956.61,393216.799,3753
-5.90382106998397,54.7687233055153,BM 172.48,334956.61,393216.799,3754
-5.90382106998397,54.7687233055153,BM 172.48,334956.61,393216.799,3755
-7.39006727076899,54.444250327011,BM 172.49,239619.355,355251.076,3756
-5.90173573440115,54.8955246936878,BM 172.63,334668.038,407333.716,3757
-7.32620646501222,54.4214388877979,BM 172.64,243786.73,352749.615,3758
-6.42432837365196,54.9054177756136,BM 172.79,301118.23,407555.104,3759
-6.11796266052365,54.3215065030467,BM 172.79,322508.949,343050.813,3760
-6.67482837818063,54.2267976621232,BM 172.85,286475.323,331685.15,3761
-7.10361073130288,54.9587883750059,BM 172.91,257471.812,412726.99,3762
-6.17965265656243,54.2014191953091,BM 172.91,318840.196,329580.183,3763
-7.23601734741717,54.7428090036059,BM 172.94,249252.163,388583.192,3764
-6.64386395408222,54.1833205671299,BM 172.98,288587.629,326884.376,3765
-6.94958323815276,54.5129723075286,BM 173.00,268081.841,363237.673,3766
-7.13404135362891,54.9916961708867,BM 173.17,255477.081,416365.816,3767
-7.13404135362891,54.9916961708867,BM 173.17,255477.081,416365.816,3768
-7.13404135362891,54.9916961708867,BM 173.17,255477.081,416365.816,3769
-6.45720643145433,54.1188305908999,BM 173.27,300929.937,319956.792,3770
-6.45720643145433,54.1188305908999,BM 173.27,300929.937,319956.792,3771
-6.45720643145433,54.1188305908999,BM 173.27,300929.937,319956.792,3772
-7.29762482022871,54.8137425637078,BM 173.28,245205.312,396438.075,3773
-7.29762482022871,54.8137425637078,BM 173.28,245205.312,396438.075,3774
-6.8190123876872,54.6859995851897,BM 173.33,276214.546,382631.883,3775
-7.36816265854223,54.2706332236086,BM 173.40,241213.758,335937.698,3776
-7.18963101517723,54.7605041489098,BM 173.46,252216.821,390586.534,3777
-6.90827332486951,54.5465906090902,BM 173.46,270699.202,367020.543,3778
