OBJECTID,NAME,TYPE,LABEL,COG,SCHOOLD,CONGDIST,FIPS,REGION,ACRES,SQMI,MUNICODE,CNTL_ID,CNTYCOUNCIL,EOC,ASSESSORTERRITORY,VALUATIONAREA,YEARCONVERTED,GlobalID
22273,COLLIER,TOWNSHIP,Collier Township,Char-West,Chartiers Valley,14,15216,AA,8943.53320312,13.97426986,905,003115,4,Southwest Regional,West,West,2007,aa624d33-e8df-4cef-93f8-8194697facc1
24280,HAMPTON,TOWNSHIP,Hampton Township,North Hills,Hampton Township,14,32328,NH,10367.59960937,16.19937515,914,003245,2,NEWCOM,North,North,1986,eef460ba-3707-44ab-a94c-563bc0da8247
25480,PITCAIRN,BOROUGH,Pitcairn Borough,Turtle Creek Valley,Gateway,18,60712,ES,309.70388793,0.48391234,847,003430,8,East Regional,East,East,1982,fe367532-0a4b-48ac-beb3-3131bb396e97
26689,INDIANA,TOWNSHIP,Indiana Township,North Hills,Fox Chapel Area,18,36808,NH,11256.24023437,17.58787536,917,003275,3,NEWCOM,North,North,1986,41adb597-00f4-43b8-9cc5-1282e518ef25
29481,O'HARA,TOWNSHIP,O Hara Township,North Hills,Fox Chapel Area,18,56384,NH,2247.91699218,3.51237034,931,003405,3,NEWCOM,North,North,1960,41770961-a728-41e6-82b9-8ee24eded590
29482,ASPINWALL,BOROUGH,Aspinwall Borough,Allegheny Valley North,Fox Chapel Area,18,3320,NH,245.54315185,0.38366124,801,003010,3,NEWCOM,North,North,1954,0fd56362-2325-440f-b763-4155993a0feb
30282,WEST DEER,TOWNSHIP,West Deer Township,North Hills,Deer Lakes,4,82800,NH,18471.13476562,28.8611412,952,003595,2,NEWCOM,East,Alle-Kiski Valley,1988,3e651835-375a-40df-b0c2-59f3b75d9174
30285,JEFFERSON HILLS,BOROUGH,Jefferson Hills Borough,South Hills Area,West Jefferson Hills,18,37816,SH,10813.69140625,16.89639091,878,003285,6,South Hills Regional,South,Mon Valley,1968,9419c042-55c5-47b3-b340-d515df9675c9
31086,BELLEVUE,BOROUGH,Bellevue Borough,Quaker Valley,Northgate,14,5312,NH,706.68798828,1.1042,803,003030,1,Northwest Regional,North,Northwest,1955,9b0a557a-f0de-42d3-a041-da5263183956
31497,BETHEL PARK,MUNICIPALI,Bethel Park Municipality,South Hills Area,Bethel Park,20,6064,SH,7491.74658203,11.70585441,876,003045,5,South Hills Regional,South,South,1962,0f876147-366a-4a1d-a786-8aa8312bd071
31503,TRAFFORD,BOROUGH,Trafford Borough, ,Penn-Trafford,18,77272,MV,93.27004241,0.14573444,857,003565,8,East Regional,East,East,1999,98716d9e-576b-42fe-99f0-ea6440cf0d4f
31505,KILBUCK,TOWNSHIP,Kilbuck Township,Quaker Valley,Avonworth,14,39624,NH,1696.04296875,2.65006709,920,003295,1,Northwest Regional,North,Northwest,1971,220b6ed1-35db-40e1-97f6-c5f1b9533985
31510,EAST MCKEESPORT,BOROUGH,East McKeesport Borough,Turtle Creek Valley,East Allegheny,18,21496,MV,242.55856323,0.3789978,821,003155,8,East Regional,East,Mon Valley,1971,2a7329dd-a15e-4e7e-a7e2-d215e8b5b5ab
31908,PITTSBURGH,CITY,Pittsburgh, ,City of Pittsburgh,14,61000,PGH,,,100,003435,13,City of Pittsburgh,City,City,1948,3689576c-bdf6-4e79-bfe3-579e96f76637
35908,PENN HILLS,MUNICIPALI,Penn Hills Municipality,Turtle Creek Valley,Penn Hills,18,59032,ES,12455.72851562,19.46207809,934,003420,7,East Regional,East,East,1984,e4ed7404-d1ea-41a3-9e17-070fdae0c8f0
36708,FOREST HILLS,BOROUGH,Forest Hills Borough,Turtle Creek Valley,Woodland Hills,18,26592,ES,990.75531005,1.54805517,828,003205,8,East Regional,East,Mon Valley,1953,0ac0ecf3-e435-44a9-b3e8-9e2a57827230
