FID,AREA,PERIMETER,WOODLAND_,WOODLAND_I,NATURE_COD,Shape_Leng,Shape_Area,Acres
55,131677.337137,2352.79431405,21,1155,310,2352.79432471,131677.338669,3.02290783699
56,83057.991292,1592.41631373,223,1059,310,1592.41622014,83057.9866847,1.90675663264
57,10540.2480571,991.001171817,516,0,0,991.001134724,10540.2488662,0.241971786669
58,329299.301026,3780.50820527,224,2069,310,3780.50835464,329299.307472,7.55970212748
59,41644.6005505,1188.92011519,22,1132,310,1188.9200415,41644.5935898,0.956032143449
60,8352743.55392,30156.0330422,23,1081,310,30156.0326518,8352743.48001,191.753372155
61,3252911.24948,14298.1673236,517,1341,310,14298.1672458,3252911.28822,74.676866389
62,9262.36424555,681.69326363,225,2060,310,681.693193283,9262.37174975,0.212635647368
63,55157.741237,1396.59393035,518,1144,310,1396.59388979,55157.7505099,1.26625278103
64,15456.137292,1243.49308741,226,2049,310,1243.49311076,15456.132071,0.354825387872
65,358302.023524,4185.87014512,227,1052,310,4185.87022441,358302.003443,8.22551507472
66,23434.0972885,679.672034966,519,0,0,679.672184581,23434.0988906,0.537975037357
67,11552145.2895,46111.237488,24,1124,310,46111.2375673,11552145.3593,265.201826631
68,909412.51277,5256.73937769,520,1145,310,5256.73952319,909412.523261,20.8773223352
69,56691.0877219,1225.17212117,228,4172,310,1225.17229416,56691.0794484,1.30145331068
70,3465.30884294,426.350426498,25,0,0,426.350301194,3465.30471637,0.0795527680815
71,1072525.66958,7034.10603829,229,4157,310,7034.10624494,1072525.67838,24.6219001031
72,1345.9324098,433.109881153,26,946,310,433.109901287,1345.93372773,0.0308985103645
73,92.5728135004,47.0371659554,230,2045,310,47.0371202382,92.5726176061,0.0021251833769
74,108294.700986,2901.53555157,27,931,310,2901.53553202,108294.690192,2.48611394336
75,1178.64404619,246.679146707,521,1011,310,246.679225505,1178.64584876,0.027058093741
76,40.2532899994,44.7648502917,231,836,310,44.7647358123,40.2533207352,0.000924092785789
77,59388.6105855,1740.1611837,522,4112,310,1740.16103601,59388.6034882,1.36338018924
78,515724.780271,3372.609279,28,617,310,3372.60920032,515724.778306,11.8394591646
79,46102.9971565,938.295053569,232,614,310,938.295117159,46102.9955936,1.05838337939
80,26423.538674,592.184129408,523,5739,310,592.184122471,26423.5376144,0.606603381746
81,49773.597709,1156.36971612,233,0,0,1156.36959372,49773.5961837,1.14264911108
82,4097989.59457,9467.30187287,29,1080,310,9467.30189895,4097989.5969,94.0772724725
83,442636.843814,3256.02453398,234,0,0,3256.02434743,442636.859646,10.1615847153
84,29853.3206593,743.02457452,30,659,310,743.024542669,29853.3195221,0.68534065509
85,3039320.75588,22270.0916202,524,1105,310,22270.0916214,3039320.75258,69.7734827801
86,33222.14397,731.231987167,235,614,310,731.231973162,33222.1415868,0.762678477404
87,126696.646413,1503.06797393,31,0,0,1503.06799006,126696.649619,2.90856649237
88,30611.8255635,765.299587225,32,0,0,765.299578205,30611.8286379,0.702753698016
89,199168.133458,2156.54962392,236,625,310,2156.54958989,199168.137696,4.5722895861
90,5639072.48129,15097.1304467,33,674,310,15097.1304124,5639072.48996,129.455809144
91,1688937.30487,7504.59725445,237,1566,310,7504.59756287,1688937.30227,38.7728204326
92,628016.009014,6618.07829659,34,800,310,6618.07827152,628016.024325,14.4173217722
93,2659.31074914,319.763421363,35,0,0,319.76349259,2659.31233486,0.0610496550079
94,278629.871125,2529.76823841,238,0,0,2529.76813025,278629.872264,6.39648729997
95,75499.7967,1084.12556546,525,2235,310,1084.12552974,75499.7874067,1.73324355847
96,649190.406028,3618.12253571,526,5780,0,3618.12260817,649190.454873,14.9034217549
97,42758.863499,1723.33286718,527,4097,310,1723.33275414,42758.8677123,0.981612459787
98,2581328.61655,10808.2158298,36,635,310,10808.2159174,2581328.63598,59.2593884601
99,42140.44,803.240127742,239,4194,310,803.240085032,42140.4389986,0.967415233261
100,4376.58503299,358.005663058,528,2232,310,358.005760798,4376.58338684,0.100472931433
101,34502.5750685,945.852001923,529,752,310,945.852041597,34502.5821662,0.792073465954
102,86300.502935,1322.91432029,530,0,0,1322.91449691,86300.5005803,1.98119480678
103,42398.452538,1846.89201461,37,1129,310,1846.89207587,42398.4448542,0.973338256394
104,1010656.50481,4372.1558695,531,744,310,4372.15578365,1010656.51067,23.2015737674
105,515073.821363,4955.35080509,240,4161,310,4955.35094646,515073.857257,11.8245160137
106,11501877.7324,67826.6468218,38,794,310,67826.6466913,11501877.5872,264.047832756
107,381474.104188,4145.11680249,702,4064,310,4145.11679982,381474.100551,8.75747535472
108,1280126.26933,8142.1182829,39,0,0,8142.11834318,1280126.28567,29.3877733284
109,103504.890072,1872.33801537,241,4883,310,1872.33801938,103504.888381,2.37615478424
110,26105.6529095,731.042733112,532,2019,310,731.042731998,26105.6586548,0.59930585578
111,68224.3191876,4116.71514964,40,0,0,4116.71517757,68224.2706108,1.56622000709
112,123640.688404,1731.2423162,703,1981,310,1731.24222864,123640.673408,2.83841065133
113,449672.6078,4191.75783814,533,4476,310,4191.75780774,449672.607938,10.3231039172
114,216028.593657,2958.23261371,242,763,310,2958.23262661,216028.608081,4.95935427453
115,11856247.2577,23176.6260815,41,636,310,23176.6256653,11856247.246,272.183073259
116,17634.9121,676.676466985,704,0,0,676.676432687,17634.9016077,0.404843254075
117,65352.2403749,1103.91858069,243,4878,310,1103.91847717,65352.2318709,1.50028680626
118,57265.996799,1830.41959934,705,761,310,1830.41955426,57265.9946566,1.31465160058
119,154360.940442,1990.74302118,534,0,0,1990.74289506,154360.934099,3.54365361672
120,231961.221659,2615.30051738,244,1501,310,2615.30051262,231961.239898,5.32511863513
121,41757.5976515,2260.58312389,706,988,310,2260.58312763,41757.604086,0.958626517834
122,517930.509776,4004.86766832,42,0,0,4004.86768287,517930.509829,11.8900959953
123,3.54781999943,13.2115984188,535,0,0,13.2116458132,3.54763651879,8.14428537507e-05
124,76120.2742712,1205.59470309,245,4868,310,1205.59466681,76120.2673073,1.74748787395
125,10964.2909715,549.910666426,707,752,310,549.910690522,10964.292205,0.251706521174
126,841976.663514,4867.31555009,536,1025,310,4867.31551534,841976.634599,19.3292011597
127,395645.78846,2568.75969877,246,4866,310,2568.7595027,395645.785493,9.08281377596
128,549851.221919,3287.2467606,43,0,0,3287.2466534,549851.216815,12.6228975259
129,1547159.00284,7478.40782662,708,1015,310,7478.40793738,1547158.99595,35.5180253581
130,929185.115658,4698.29848535,247,4890,310,4698.29844218,929185.097034,21.3312399859
131,110744.467064,1545.30556533,44,1166,310,1545.30538289,110744.461464,2.54235317822
132,52600.9355225,1259.20599325,45,1127,310,1259.20598159,52600.9414262,1.20755628629
133,529755.878564,4043.16936001,248,1070,310,4043.16931516,529755.911209,12.1615709421
134,334302.496539,3203.00694447,46,0,0,3203.00690193,334302.492921,7.67455992046
135,365838.717973,6393.572049,249,4857,310,6393.57203443,365838.699043,8.39853449042
136,385412.581585,2692.7543729,47,0,0,2692.75444206,385412.580692,8.84789077932
137,41059.029543,817.425902833,48,1150,310,817.425969178,41059.0377427,0.942589577121
138,151348.717001,2566.38883296,250,5757,0,2566.38876017,151348.696357,3.4745018768
139,153557.277923,2630.84291865,709,0,0,2630.8429747,153557.280206,3.52520418817
140,13508.634587,517.30596377,537,1298,310,517.305937983,13508.6404255,0.310116952713
141,81231.1303965,1974.84896178,49,1144,310,1974.84896771,81231.1354868,1.86481773215
142,83631.496928,1703.32126132,538,1290,310,1703.32135166,83631.4722466,1.91992210224
143,90444.060452,1325.80895587,710,1331,310,1325.80890578,90444.0699442,2.07631845091
144,151809.28,1602.50002268,251,5758,0,1602.50006562,151809.277631,3.48507541023
145,119009.598189,1996.33541348,539,2311,310,1996.33543222,119009.622614,2.73209592869
146,319942.87334,5804.99722964,50,0,0,5804.99725009,319942.888435,7.34490744284
147,178581.203223,2813.59258125,711,1039,310,2813.59263783,178581.207102,4.09967680049
148,9746.60867847,574.961757653,252,0,0,574.961693938,9746.60484744,0.223752154132
149,1086239.00901,5140.27460369,540,0,0,5140.27481104,1086239.04188,24.9367168698
150,72724.9356465,1485.69277339,712,5790,0,1485.69275248,72724.9371995,1.66954150827
151,66579.1173875,1197.65078519,253,0,0,1197.65083615,66579.1252001,1.52845251417
152,6260439.64014,20647.9475904,51,0,0,20647.9476017,6260439.57082,143.720491567
153,354897.419411,3352.0378889,713,581,310,3352.03793322,354897.421762,8.1473563213
154,195888.817304,1745.06405478,254,2288,310,1745.06418907,195888.819291,4.49700649331
155,39174.212756,864.084800789,541,2018,310,864.084794395,39174.2122102,0.899319763717
156,12183.52,414.038753856,255,0,0,414.038768778,12183.520233,0.279696257283
157,7504.1897265,362.951353298,714,0,0,362.951309458,7504.18990636,0.172273184647
158,70315.689723,2075.03836245,542,0,0,2075.03834782,70315.6603539,1.61423190123
159,592825.943492,3547.29655605,52,651,310,3547.29662258,592825.953455,13.6094656742
160,9694.41099002,685.790605371,715,4529,310,685.790735661,9694.41738505,0.222554090056
161,30268.6655781,784.411498919,256,4963,310,784.411505541,30268.6745901,0.694875933544
162,1986950.59813,12237.3355861,543,4179,310,12237.3360995,1986950.64467,45.6142927569
163,347488.139196,3472.53291516,257,4173,310,3472.53292838,347488.160279,7.9772624021
164,1470549.81454,10103.1082267,716,580,310,10103.1078989,1470549.79658,33.7593131037
165,302181.296622,3240.77306338,53,621,310,3240.77294222,302181.336962,6.9371566963
166,1539504.72695,6365.92661267,544,986,310,6365.92670504,1539504.73833,35.3423070791
167,2245424.24925,12778.0069249,717,1002,310,12778.0066807,2245424.21138,51.5480531015
168,4714820.33053,21260.6073003,54,0,0,21260.6073802,4714820.38342,108.23781549
169,1024750.12263,7231.96642203,258,1502,310,7231.96636833,1024750.13543,23.5251201662
170,278121.349157,4196.86340756,545,579,310,4196.86328107,278121.344684,6.38481306642
171,7395.12371956,441.285913249,259,4960,310,441.285965703,7395.11985249,0.169769270731
172,282.649331935,74.0974579064,260,4962,310,74.0974077316,282.649136488,0.00648875727933
173,156752.659593,2251.37106637,718,4525,310,2251.37077882,156752.639828,3.59855984482
174,405959.635995,3950.18699355,546,1026,310,3950.18700567,405959.641233,9.31958827082
175,2608.45999999,329.858403936,261,4193,310,329.858488774,2608.46073514,0.0598822582418
176,310.573117487,248.222263711,55,839,310,248.222299242,310.57529526,0.00712985623426
177,1932.70954111,228.687072702,262,4961,310,228.687201116,1932.71083708,0.04436911313
178,533186.9716,4432.03414051,56,671,310,4432.03418294,533186.961968,12.2403373444
179,1074021.54106,7805.37546844,263,612,310,7805.37551472,1074021.5386,24.6562404661
180,123647.461087,1562.15698961,719,0,0,1562.1571087,123647.460448,2.83856646096
181,432277.664549,3331.10966856,57,832,310,3331.1095959,432277.665664,9.92376939348
182,1808531.65904,15126.552587,264,787,310,15126.5525214,1808531.62103,41.5183391914
183,85665.2470005,1270.79904654,547,1007,310,1270.79905863,85665.2526877,1.96661146349
184,161552.628643,2967.67779718,720,999,310,2967.67782857,161552.626585,3.70875281905
185,575.928786503,99.3182504396,548,0,0,99.3183308585,575.931129515,0.0132216123335
186,2727.1094465,334.953394621,721,4527,310,334.953442092,2727.10636681,0.0626059980549
187,16575579.2043,53738.4323975,549,2231,310,53738.4323852,16575579.3501,380.524464018
188,643125.940811,6818.04477325,722,582,310,6818.04500022,643125.934889,14.7641989761
189,8834.88171251,383.725846036,550,608,310,383.72583052,8834.88163944,0.202821785562
190,37984.2973335,756.673741671,723,5046,310,756.673767313,37984.2951599,0.872002917759
191,2944181.60397,13477.1130038,724,977,310,13477.113202,2944181.63625,67.589380464
192,77349.98732,1238.84735982,551,0,0,1238.84735661,77349.975742,1.77571820805
193,169204.126947,2213.25891556,552,0,0,2213.25875529,169204.113828,3.88440749877
194,10403.463022,603.848562833,725,0,0,603.848595718,10403.457061,0.238831466368
195,134360.12,4583.50556401,726,0,0,4583.50554639,134360.128728,3.08449646855
196,21460.0028015,922.760424364,553,739,310,922.760318736,21459.9988734,0.492655755594
197,19188.991075,646.643496196,727,0,0,646.643485998,19188.9869047,0.440520286063
198,3259.87566449,423.524207641,554,4173,310,423.524219684,3259.87613131,0.0748367578249
199,5355.9965655,322.507270248,728,1335,310,322.507258756,5355.99758935,0.122957277626
200,4187779.64698,16024.4951244,555,736,310,16024.495082,4187779.64581,96.1385766066
201,18832.2397,1512.04749817,556,1222,310,1512.04748783,18832.2355948,0.432330370156
202,21856.3312105,584.125905919,729,5791,0,584.125905181,21856.3269529,0.501754232747
203,199226.585876,2005.36461002,4162,828,310,2005.36457,199226.592872,4.57363153767
204,1012824.34694,5633.10085769,557,1330,310,5633.1009936,1012824.35178,23.2513407505
205,224108.742552,1872.90972302,4163,362,310,1872.90975214,224108.73805,5.14484927657
206,56463.049467,1240.34672663,558,4466,310,1240.34672012,56463.0357702,1.29621812725
207,278312.048943,4534.92080411,4164,256,310,4534.92072538,278312.056161,6.38919121701
208,7718000.4672,30176.4859044,559,734,310,30176.4858464,7718000.40023,177.181617822
209,203068.88969,3105.68878741,560,4104,310,3105.68896101,203068.887358,4.66183883461
210,56371.225734,1419.63477156,4165,1343,310,1419.63489839,56371.2213252,1.29411034919
211,22875.5770765,796.494507329,4166,146,310,796.49448192,22875.5819386,0.525153201129
212,109015.204139,1278.69780862,561,606,310,1278.69779361,109015.194516,2.50265451281
213,2298198.3361,11565.5237593,4167,0,0,11565.5237098,2298198.32834,52.7595849669
214,59694.7984,1226.98694356,562,5781,0,1226.98700056,59694.803625,1.37040960526
215,4876664.64128,18009.0741334,58,0,0,18009.073967,4876664.67056,111.953263941
216,519094.0835,4303.44840017,265,3927,310,4303.4486019,519094.083508,11.9168080783
217,3103.895673,330.192708903,563,2038,310,330.192756859,3103.89996986,0.0712560235422
218,22347.9757985,625.21263652,4168,358,310,625.212779785,22347.984728,0.513041187331
219,82342.5139095,1402.9217201,564,1008,310,1402.92181145,82342.5174178,1.89033165264
220,402.929129504,115.791668923,4169,797,310,115.791763965,402.931871926,0.0092500799738
221,699645.194901,7309.2440673,59,838,310,7309.24402887,699645.175147,16.061707386
222,4885617.60234,25801.2156205,266,2236,310,25801.2155371,4885617.49648,112.158793366
223,150509.59171,2126.67277,565,2792,310,2126.67276162,150509.586215,3.45523848153
224,509949.730483,6168.71464058,4170,2413,310,6168.71471984,509949.733298,11.7068818435
225,4481491.6387,24736.4053478,60,0,0,24736.4051014,4481491.53317,102.881300716
226,480471.132655,3370.19923826,102,2003,310,3370.19926619,480471.148708,11.0301439531
227,4481230.13953,24812.837386,566,598,310,24812.8377509,4481230.11805,102.875299427
228,27798.009654,798.602128952,267,1058,310,798.602095034,27798.0113253,0.638157082592
229,48611.3380206,2038.76684744,61,822,310,2038.76677213,48611.3446759,1.11596738113
230,105182.434961,2751.63764509,4171,180,310,2751.63777173,105182.444265,2.41466632223
231,843211.701828,4839.58200061,268,2226,310,4839.58199483,843211.728912,19.357555137
232,10702.9279145,706.083017414,4172,123,310,706.082958093,10702.9281041,0.245706403028
233,3665223.15231,11421.7470907,567,578,310,11421.7473621,3665223.1622,84.1422824411
234,2377081.41536,11795.4027522,103,0,0,11795.4031372,2377081.49013,54.5705004244
235,74226.384639,1245.40937304,4173,0,0,1245.40916317,74226.3712413,1.70400982892
236,90186.0580576,1774.66138036,62,930,310,1774.66148024,90186.0639332,2.07039542421
237,1004477.82063,10653.6077528,568,571,310,10653.6075692,1004477.83888,23.0597304134
238,6499587.32001,24280.8125897,63,1121,310,24280.8129147,6499587.37642,149.210591709
239,165419.134918,2883.85808928,4174,1330,310,2883.85823462,165419.154655,3.79751644475
240,20093.1909274,956.870967015,302,1504,310,956.870936885,20093.190858,0.461278035607
241,6425433.0103,27418.7448879,269,999,310,27418.7448271,6425432.96356,147.508233824
242,69708.0248755,1240.90471808,569,2304,310,1240.90477796,69708.0231012,1.60028241355
243,38334.4605355,1190.66450294,303,0,0,1190.66450272,38334.4682364,0.880041817602
244,839165.06795,5407.68641861,104,0,0,5407.68653966,839165.133671,19.2646577213
245,120155.769201,1372.29035788,64,5743,0,1372.29029254,120155.765263,2.75840784866
246,12152.98,508.187362368,270,3923,310,508.187323423,12152.9810012,0.278995170184
247,34269.066012,809.932663408,6054,1135,310,809.932661265,34269.0670208,0.786712674415
248,46068.925442,833.989406473,4175,5972,0,833.989435821,46068.9238664,1.05760119703
249,86410.56341,1492.26375056,65,838,310,1492.26381086,86410.5658012,1.98372156668
250,155135.695644,1722.27197476,105,1999,310,1722.27186284,155135.684694,3.5614395142
251,25693.191095,668.794781375,570,5782,0,668.794782493,25693.1982433,0.589837029762
252,813.135258017,292.623358779,271,999,310,292.623342894,813.136755776,0.0186671259948
253,271571.765313,3357.64678443,304,0,0,3357.64668647,271571.772785,6.23445498337
254,509375.25014,2970.772386,6055,0,0,2970.77247099,509375.265072,11.6936938149
255,187793.160533,2154.94339475,272,4380,310,2154.94346296,187793.162419,4.31115504118
256,575520.246968,7241.9959448,571,0,0,7241.99589799,575520.23448,13.2121794437
257,439649.941118,3240.29687601,106,1089,310,3240.29688542,439649.926494,10.0930138912
258,3849.776751,286.409701133,4176,769,310,286.409699266,3849.77590603,0.08837904741
259,14294268.1461,41215.1051873,305,2634,310,41215.1057904,14294268.0932,328.152554419
260,58359.090073,1356.77272909,6056,0,0,1356.77276316,58359.0874656,1.33974565892
261,296420.578871,4317.06497601,66,0,0,4317.06497791,296420.586497,6.80490753404
262,752942.641383,5092.16160066,4177,1344,310,5092.16164064,752942.646626,17.2852538661
263,651384.319394,4941.14381362,6057,53,310,4941.14378428,651384.343836,14.9537867167
264,123198.471071,1448.03087105,107,2011,310,1448.03088027,123198.465978,2.828258925
265,457440.808844,2690.42754514,306,645,310,2690.42754873,457440.812801,10.5014380755
266,56257.1597001,1430.101125,572,1201,310,1430.10108583,56257.1612442,1.29149187956
267,14736698.4371,57413.6308316,273,4967,310,57413.6305478,14736698.3818,338.309396895
268,65455.9842485,1200.51593508,573,0,0,1200.51597312,65455.9815791,1.50266858135
269,943599.008669,6827.29719928,108,1164,310,6827.29724465,943599.023276,21.6621395244
270,1184076.48873,7019.05296733,307,2308,310,7019.05303146,1184076.49758,27.182764782
271,222320.365001,4058.42095509,6058,1033,310,4058.42079897,222320.363377,5.10379367908
272,109174.25506,2208.63337155,4178,2150,310,2208.63332556,109174.243134,2.50630578127
273,39832.8370945,1273.63816107,6059,2274,310,1273.63810511,39832.8265762,0.914439529569
274,36129.4034495,904.85929382,308,4856,310,904.859364943,36129.4042377,0.829420311198
275,661484.37226,5672.73331825,109,2079,310,5672.73330047,661484.3409,15.1856516723
276,248286.121399,2724.57615835,4179,267,310,2724.57610941,248286.094916,5.69988723745
277,25508.2058245,820.533800015,574,2831,310,820.533816444,25508.2042276,0.585590134543
278,255209.830058,2742.71243871,274,764,310,2742.71237817,255209.825161,5.85883484856
279,2489891.3675,27085.109801,6060,0,0,27085.1096083,2489891.33542,57.1602684806
280,86137.178189,1312.54757115,309,5762,0,1312.54753379,86137.1688256,1.97744521064
281,67921.504699,1150.0990979,4180,360,310,1150.09915004,67921.5076126,1.55926949723
282,25754.728826,830.062906771,575,4468,310,830.06293786,25754.7326665,0.591249671389
283,246912.400764,2154.87589602,110,2027,310,2154.87586707,246912.388267,5.668351146
284,337122.784273,4498.74466503,576,1131,310,4498.74472166,337122.786334,7.73930520729
285,13880.3589525,634.694227375,6061,3206,310,634.694215361,13880.3577239,0.318650441815
286,52186.42,960.288045817,4181,814,310,960.288061122,52186.4228825,1.19804021186
287,41604.5708995,804.531143926,310,5763,0,804.531218191,41604.570581,0.955113337921
288,1165095.17607,4832.11636056,67,1119,310,4832.11631936,1165095.16809,26.7470116733
289,624783.903342,5054.75318725,4182,0,0,5054.75351208,624783.891626,14.3431219185
290,6930987.5923,24207.2602963,111,2054,310,24207.2604236,6930987.55005,159.114216577
291,52933.957819,1452.55640834,577,554,310,1452.55637801,52933.9360815,1.21520082227
292,64663.100583,1066.13454467,6062,879,310,1066.13457625,64663.095487,1.48446634849
293,12853.159408,430.238315192,311,4160,310,430.238342588,12853.1628721,0.295069198459
294,9770014.01984,50110.6252278,68,0,0,50110.6260879,9770014.0454,224.28955752
295,25907.9149175,647.905789221,6063,55,310,647.905799157,25907.9082146,0.594766112181
296,54893.9585685,1040.01120331,578,550,310,1040.01109507,54893.9519106,1.26019677427
297,299426.98151,5935.46472408,4183,283,310,5935.46454845,299426.987465,6.87392527954
298,264349.961759,2215.5022404,112,5747,0,2215.50228732,264349.983424,6.06866484912
299,8953.5943965,550.82259444,312,4965,310,550.822666842,8953.59450768,0.20554706892
300,1261371.05991,7482.56736811,275,1111,310,7482.56747286,1261371.06392,28.95721096
301,34047.7898625,954.728088462,579,4469,310,954.728026494,34047.7909383,0.78163285422
302,5624083.14623,34422.6946314,4184,367,310,34422.6943428,5624083.13895,129.111699618
303,56727.1210291,1269.36298795,6064,1036,310,1269.3631267,56727.1170301,1.30228062303
304,39255.882854,952.433172215,313,632,310,952.433133038,39255.8832973,0.901194681389
305,1037382.04629,6990.47683944,113,1236,310,6990.4768662,1037382.05839,23.8151103749
306,1046838.65726,6355.33841288,69,1163,310,6355.33836692,1046838.63824,24.0322044447
307,787625.154206,4746.81263773,276,1137,310,4746.81272247,787625.110635,18.0814568674
308,86884.624995,1339.84505669,314,2028,310,1339.84516937,86884.6459145,1.99460499206
309,13239.838333,493.463012669,580,4163,310,493.463081535,13239.8388899,0.30394609388
310,1512384.53692,18121.2673537,6065,1098,310,18121.2671063,1512384.53831,34.7197104653
311,335560.246435,8481.27307352,4185,289,310,8481.27314269,335560.257994,7.70343434892
312,144373.276849,2665.02615946,581,0,0,2665.02613853,144373.279781,3.31436770607
313,379575.153301,2830.82245224,315,2306,310,2830.82242969,379575.169857,8.71388173008
314,89334.874392,2063.326621,114,1525,310,2063.3267391,89334.8770312,2.05085478356
315,10530.401689,415.483841279,6066,2259,310,415.48386572,10530.4016014,0.24174572367
316,32711.499744,1046.36176798,582,991,310,1046.3616712,32711.4887188,0.750955453746
317,327282.322867,2519.13718682,115,0,0,2519.1371414,327282.302956,7.51339789002
318,50170.5357225,1042.61624182,316,0,0,1042.61623557,50170.535619,1.15176162309
319,15673.775215,513.226585107,4186,290,310,513.226523383,15673.7773057,0.359821854936
320,478667.125188,3292.30483358,6067,658,310,3292.3048597,478667.172414,10.9887301903
321,8090.68000002,741.328092889,317,4086,310,741.328047158,8090.67943639,0.185737185473
322,259491.382057,2906.30504704,116,2002,310,2906.3049208,259491.359957,5.95712575586
323,53240.149352,1483.80209913,277,0,0,1483.80201163,53240.138843,1.22223029853
324,297041.391674,3449.50575658,70,820,310,3449.50574377,297041.378238,6.81915900843
325,145699.2539,2217.564038,583,1202,310,2217.56415,145699.249403,3.34480790179
326,289585.771407,3083.00043271,4187,1346,310,3083.00036792,289585.769726,6.64800110359
327,313585.462345,3970.20584375,117,0,0,3970.20590198,313585.459328,7.19896036901
328,11260.5215,1095.70058796,278,4862,310,1095.70064911,11260.533389,0.258507310175
329,4399303.05243,16422.6075274,318,0,0,16422.6072556,4399303.03053,100.99450477
330,348400.908845,2933.56786129,71,0,0,2933.56789693,348400.904278,7.9982162049
