X,Y,TEMA,SURVEY,TEXTSTRING,OBJECTID
-6.48740794659794,55.0685136984883,A_CLASS,20050131,A 26,161
-6.69985083756933,55.1917051566174,A_CLASS,20050121,A 2,162
-6.62558632671628,55.1979640312434,A_CLASS,20050121,A 2,163
-6.6633617619628,55.1751364481237,A_CLASS,20050121,A 29,164
-6.700336847386,55.164956398075,A_CLASS,20050121,A 2,165
-6.64271480782746,55.1387770966949,A_CLASS,20050121,A 29,166
-6.66582673946892,55.1476128070562,A_CLASS,20050121,A 29,167
-6.65984601007862,55.1275551015876,A_CLASS,20050121,A 26,168
-6.67369408734817,55.1262683382679,A_CLASS,20050121,A 29,169
-6.6897006270449,55.1109272190227,A_CLASS,20050121,A 29,170
-6.57028881198338,55.0925881948997,A_CLASS,20050121,A 26,171
-6.61424618592942,55.0742629855486,A_CLASS,20050131,A 54,172
-6.68092011563742,55.0247100456106,A_CLASS,20050131,A 29,173
-6.68831443268726,54.9724844888967,A_CLASS,20050131,A 29,174
-6.56765121925986,54.971521090661,A_CLASS,20050131,A 54,175
-6.65792806187601,54.8415393097211,A_CLASS,20060308,A 42,176
-6.66536529041844,54.8796488380614,A_CLASS,20060308,A 29,177
-6.55743855266814,54.853521023079,A_CLASS,20060308,A 42,178
-6.50782548478279,54.8574052132773,A_CLASS,20060308,A 54,179
-6.45461851510591,54.8620197791728,A_CLASS,20060308,A 42,180
-6.52422360229853,54.9271531107953,A_CLASS,20060308,A 54,181
-6.6691320664115,54.7336983126016,A_CLASS,20060308,A 29,182
-6.65228329956428,54.7121808214837,A_CLASS,20060308,A 31,183
-6.53056976713056,54.7984212005198,A_CLASS,20060308,A 54,184
-6.50998865141311,54.8233236399328,A_CLASS,20060308,A 54,185
-6.61635168158742,54.803131284904,A_CLASS,20060308,A 6,186
-6.59146728869506,54.763772641162,A_CLASS,20060308,A 31,187
-6.62249761604772,54.8355391461903,A_CLASS,20060308,A 42,188
-6.71033207448622,54.6673524348487,A_CLASS,20060308,A 29,189
-6.69398948852885,54.7926146126113,A_CLASS,20060308,A 29,190
-6.69190536090295,54.8234454599088,A_CLASS,20060308,A 29,191
-6.68339922263835,54.8373961710184,A_CLASS,20060308,A 6,192
-6.6704154011229,54.5114967352507,A_CLASS,20060307,A 45,193
-6.74811601083308,54.5272523594004,A_CLASS,20060307,A 45,194
-6.75019049820989,54.6101737280146,A_CLASS,20060307,A 29,195
-6.46481060237629,54.4132240101304,A_CLASS,20060307,A 3,196
-6.5760102251809,54.3125832928527,A_CLASS,20060306,A 28,197
-6.50414084108581,54.4593816427671,A_CLASS,20060307,A 4,198
-6.71813516289677,54.462166998431,A_CLASS,20060307,A 29,199
-6.67364774228563,54.3754751262895,A_CLASS,20060307,A 29,200
-6.75622211770966,54.3498414520876,A_CLASS,20060306,A 28,201
-6.66073743569352,54.3275814607853,A_CLASS,20060306,A 29,202
-6.70847716840506,54.3208820012241,A_CLASS,20060306,A 3,203
-6.65761428986131,54.3427357786731,A_CLASS,20060306,A 3,204
-6.59999087905161,54.3630108569861,A_CLASS,20060306,A 3,205
-6.50003653459928,54.394337101534,A_CLASS,20060307,A 3,206
-6.56660104103903,54.3388328409117,A_CLASS,20060306,A 51,207
-6.68797985577894,54.2703916379651,A_CLASS,20060306,A 29,208
-6.68589370683331,54.2333222021979,A_CLASS,20060306,A 29,209
-6.56776318747528,54.143890767361,A_CLASS,20040921,A 29,210
-6.58829955965576,54.178323506341,A_CLASS,20040921,A 25,211
-6.5752213027084,54.1844616596818,A_CLASS,20040921,A 29,212
-6.51978569843765,54.1767150403971,A_CLASS,20040921,A 25,213
-6.60642382511867,54.2132847745734,A_CLASS,20040921,A 29,214
-6.49073362695258,54.2856967943874,A_CLASS,20060306,A 28,215
-6.50414870530166,54.0769335204305,A_CLASS,20040921,A 29,216
-6.65136571089142,54.0652759391371,A_CLASS,20040921,A 37,217
-6.60394561327552,54.047931147731,A_CLASS,20040921,A 37,218
-6.75337866943501,55.088478227991,A_CLASS,20040709,A 37,219
-6.75303098469922,55.1425825683495,A_CLASS,20050121,A 2,220
-6.94722350852059,55.1348171501507,A_CLASS,20050121,A 2,221
-6.86941082288477,55.0688952557095,A_CLASS,20040709,A 37,222
-6.93746398579792,55.0870704625407,A_CLASS,20040709,A 2,223
-6.9264680082857,55.0518894325971,A_CLASS,20040709,A 37,224
-6.99038900284884,55.0497432143327,A_CLASS,20040709,A 2,225
-6.92446698084726,54.9252248273922,A_CLASS,20030930,A 6,226
-7.05647325193527,54.9306552145531,A_CLASS,20030930,A 6,227
-6.75900253299937,54.8542667470183,A_CLASS,20030930,A 6,228
-6.8346878192528,54.9035514101186,A_CLASS,20030930,A 6,229
-6.81813341836917,54.4842898771967,A_CLASS,20030801,A 4,230
-6.79844472871887,54.4929956961942,A_CLASS,20030801,A 45,231
-6.92991177022562,54.4882597683402,A_CLASS,20030801,A 4,232
-6.77915237775028,54.5487597668219,A_CLASS,20030801,A 29,233
-6.88944410959356,54.656731412105,A_CLASS,20030801,A 505,234
-7.05274283482537,54.4723171740619,A_CLASS,20030801,A 5,235
-7.0542550543497,54.4472496454228,A_CLASS,20030801,A 4,236
-7.04280231686019,54.4262905981846,A_CLASS,20030801,A 28,237
-6.9943061959226,54.4353693929125,A_CLASS,20030801,A 5,238
-6.97509430069352,54.4053561871056,A_CLASS,20030801,A 5,239
-6.94709805948867,54.404314449034,A_CLASS,20030801,A 28,240
-6.78326364767675,54.2963668612159,A_CLASS,20030801,A 3,241
-6.86123079859267,54.2802643602542,A_CLASS,20030801,A 3,242
-7.28026097920424,55.0372090423852,A_CLASS,20040709,A 2,243
-7.30907802921606,55.0328191014335,A_CLASS,20040709,A 515,244
-7.35195831741408,55.0312816853323,A_CLASS,20040709,A 2,245
