WARD93_ID,WARDS,DATASET,OSNI_SCALE,LGD,AREA_SQKMS,AREA_SQM,PERIM_M,PERIM_KM,OBJECTID
1206,BROWNSTOWN,WARDS 1993,1:50000,Craigavon,7.42530523564,7425305.23564,13533.1718384,13.5331718384,236
1207,CHURCH,WARDS 1993,1:50000,Craigavon,0.562495144975,562495.144975,3288.30208652,3.28830208652,237
1208,CORCRAIN,WARDS 1993,1:50000,Craigavon,1.10321416261,1103214.16261,4926.13991705,4.92613991705,238
1209,COURT,WARDS 1993,1:50000,Craigavon,1.29122264563,1291222.64563,5402.94120072,5.40294120072,239
1210,DRUMNAMOE,WARDS 1993,1:50000,Craigavon,0.41310201613,413102.01613,2442.44133148,2.44244133148,240
1211,DRUMGASK,WARDS 1993,1:50000,Craigavon,2.86800594538,2868005.94538,9378.10274942,9.37810274942,241
1212,DRUMGOR,WARDS 1993,1:50000,Craigavon,3.0538952333,3053895.2333,11075.8803851,11.0758803851,242
1213,EDENDERRY,WARDS 1993,1:50000,Craigavon,1.7376377896,1737637.7896,5858.72780414,5.85872780414,243
1214,KERNAN,WARDS 1993,1:50000,Craigavon,16.9717615208,16971761.5208,24534.1435935,24.5341435935,244
1215,KILLYCOMAIN,WARDS 1993,1:50000,Craigavon,0.911968345914,911968.345914,4792.59061619,4.79259061619,245
1217,KNOCKNASHANE,WARDS 1993,1:50000,Craigavon,1.9924823146,1992482.3146,6528.19158805,6.52819158805,246
1218,MAGHERALIN,WARDS 1993,1:50000,Craigavon,17.8878128167,17887812.8167,25891.9415458,25.8919415458,247
1219,MOURNEVIEW,WARDS 1993,1:50000,Craigavon,0.713712820925,713712.820925,3860.55431497,3.86055431497,248
1220,PARKLAKE,WARDS 1993,1:50000,Craigavon,2.7988796678,2798879.6678,7393.25534824,7.39325534824,249
1221,TAGHNEVAN,WARDS 1993,1:50000,Craigavon,1.10715756836,1107157.56836,5813.53747187,5.81353747187,250
1222,TAVANAGH,WARDS 1993,1:50000,Craigavon,0.522893284922,522893.284922,3586.37916728,3.58637916728,251
1223,THE BIRCHES,WARDS 1993,1:50000,Craigavon,56.1706513108,56170651.3108,45743.1182262,45.7431182262,252
1225,WARINGSTOWN,WARDS 1993,1:50000,Craigavon,11.6907687404,11690768.7404,18098.8010255,18.0988010255,253
1226,WOODVILLE,WARDS 1993,1:50000,Craigavon,1.38598804739,1385988.04739,6155.98560692,6.15598560692,254
1228,DERRYTRASNA,WARDS 1993,1:50000,Craigavon,71.6783517521,71678351.7521,40593.0668384,40.5930668384,255
1229,DONAGHCLONEY,WARDS 1993,1:50000,Craigavon,33.4845952823,33484595.2823,41171.7570023,41.1717570023,256
1303,BALLYMAGLAVE,WARDS 1993,1:50000,Down,5.21608531937,5216085.31937,17360.1185816,17.3601185816,257
1304,BALLYNAHINCH EAST,WARDS 1993,1:50000,Down,2.07539044812,2075390.44812,6693.59256898,6.69359256898,258
1307,CROSSGAR,WARDS 1993,1:50000,Down,32.6701774557,32670177.4557,32078.8254588,32.0788254588,259
1308,DERRYBOY,WARDS 1993,1:50000,Down,74.8048111369,74804811.1369,52368.1573156,52.3681573156,260
1310,DRUMANESS,WARDS 1993,1:50000,Down,35.3054388375,35305438.8375,33132.8357092,33.1328357092,261
1312,DUNMORE,WARDS 1993,1:50000,Down,45.7363659424,45736365.9424,43516.0483951,43.5160483951,262
1315,KILLYLEAGH,WARDS 1993,1:50000,Down,10.8001795694,10800179.5694,16414.8828031,16.4148828031,263
1316,KILMORE,WARDS 1993,1:50000,Down,60.5867882656,60586788.2656,42289.2217665,42.2892217665,264
1319,SAINTFIELD,WARDS 1993,1:50000,Down,13.9032104996,13903210.4996,19683.6704378,19.6836704378,265
1401,ALTMORE,WARDS 1993,1:50000,Dungannon,60.4446197062,60444619.7062,45263.0368471,45.2630368471,266
1402,AUGHER,WARDS 1993,1:50000,Dungannon,71.998999345,71998999.345,51155.5928433,51.1555928433,267
1403,AUGHNACLOY,WARDS 1993,1:50000,Dungannon,70.17399296,70173992.96,50452.8309596,50.4528309596,268
1404,BALLYGAWLEY,WARDS 1993,1:50000,Dungannon,57.2140693361,57214069.3361,46697.7310655,46.6977310655,269
1405,BALLYSAGGART,WARDS 1993,1:50000,Dungannon,2.58652800291,2586528.00291,8198.3295857,8.1983295857,270
1406,BENBURB,WARDS 1993,1:50000,Dungannon,40.6863776592,40686377.6592,42657.3620258,42.6573620258,271
1407,CALEDON,WARDS 1993,1:50000,Dungannon,80.6866997571,80686699.7571,56377.0600741,56.3770600741,272
1408,CASTLECAULFIELD,WARDS 1993,1:50000,Dungannon,39.1215355757,39121535.5757,37339.6919651,37.3396919651,273
1409,CLOGHER,WARDS 1993,1:50000,Dungannon,104.419502019,104419502.019,64842.170857,64.842170857,274
1410,COALISLAND NORTH,WARDS 1993,1:50000,Dungannon,11.122388674,11122388.674,18223.2352002,18.2232352002,275
1411,COALISLAND SOUTH,WARDS 1993,1:50000,Dungannon,4.14247120131,4142471.20131,11748.4696743,11.7484696743,276
1412,COALISLAND WEST AND NEWMILLS,WARDS 1993,1:50000,Dungannon,9.15039223778,9150392.23778,15167.1276035,15.1671276035,277
1413,COOLHILL,WARDS 1993,1:50000,Dungannon,2.28723437056,2287234.37056,7741.71408957,7.74171408957,278
1414,DONAGHMORE,WARDS 1993,1:50000,Dungannon,27.5081481052,27508148.1052,36270.2514778,36.2702514778,279
1415,DRUMGLASS,WARDS 1993,1:50000,Dungannon,4.69330423672,4693304.23672,11150.1724261,11.1501724261,280
1416,FIVEMILETOWN,WARDS 1993,1:50000,Dungannon,77.9763176194,77976317.6194,53856.8539163,53.8568539163,281
1418,KILLYMAN,WARDS 1993,1:50000,Dungannon,35.2539530264,35253953.0264,37971.4988788,37.9714988788,282
1419,KILLYMEAL,WARDS 1993,1:50000,Dungannon,6.08910127754,6089101.27754,13978.498558,13.978498558,283
1420,MOY,WARDS 1993,1:50000,Dungannon,26.4791668398,26479166.8398,30139.8710383,30.1398710383,284
